Date	Time	URL	Host	Port	Request Method	Path	HTTP Version	Type	Allow Cookies	Header	Content												
12/10/2022	16:03:36	https://www.google.com/	www.google.com	443	GET	/	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	https://www.google.com/	www.google.com	443	GET	/	HTTP/2.0	Response	TRUE	SET-COOKIE	1P_JAR=2022-12-10-23; expires=Mon 09-Jan-2023 23:03:34 GMT; path=/; domain=.google.com; Secure; SameSite=none	1P_JAR	2022-12-10-23	 expires	Mon 09-Jan-2023 23:03:34 GMT	 path	/	 domain	.google.com	 Secure		 SameSite	none
12/10/2022	16:03:36	"https://www.google.com/gen_204?atyp=i&r=1&ei=Mg-VY5T0HcrVkPIPrr2c6A4&ct=slh&v=t1&pv=0.9936680108579554&me=22:1670713366413,V,0,0,0,0:23907,V,0,0,1920,884:26176,e,H&zx=1670713416496"	www.google.com	443	POST	"/gen_204?atyp=i&r=1&ei=Mg-VY5T0HcrVkPIPrr2c6A4&ct=slh&v=t1&pv=0.9936680108579554&me=22:1670713366413,V,0,0,0,0:23907,V,0,0,1920,884:26176,e,H&zx=1670713416496"	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	"https://www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=RhCVY5DLG_SckPIPy_ei8As&rt=wsrt.50,aft.1269&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&r=1&bl=oABN"	www.google.com	443	POST	"/gen_204?s=webhp&t=aft&atyp=csi&ei=RhCVY5DLG_SckPIPy_ei8As&rt=wsrt.50,aft.1269&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&r=1&bl=oABN"	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	https://www.google.com/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=RhCVY5DLG_SckPIPy_ei8As	www.google.com	443	GET	/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=RhCVY5DLG_SckPIPy_ei8As	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	https://www.google.com/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=RhCVY5DLG_SckPIPy_ei8As	www.google.com	443	GET	/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=RhCVY5DLG_SckPIPy_ei8As	HTTP/2.0	Response	TRUE	SET-COOKIE	1P_JAR=2022-12-10-23; expires=Mon 09-Jan-2023 23:03:34 GMT; path=/; domain=.google.com; Secure; SameSite=none	1P_JAR	2022-12-10-23	 expires	Mon 09-Jan-2023 23:03:34 GMT	 path	/	 domain	.google.com	 Secure		 SameSite	none
12/10/2022	16:03:36	https://www.google.com/gen_204?atyp=i&r=1&ei=RhCVY5DLG_SckPIPy_ei8As&dt19=2&zx=1670713416844	www.google.com	443	POST	/gen_204?atyp=i&r=1&ei=RhCVY5DLG_SckPIPy_ei8As&dt19=2&zx=1670713416844	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	"https://www.google.com/gen_204?atyp=csi&r=1&ei=RhCVY5DLG_SckPIPy_ei8As&s=webhp&t=all&bl=oABN&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&adh=&ime=3&imex=3&imeh=0&imea=0&imeb=0&imel=0&scp=0&sys=hc.4&rt=aft.1269,aftqf.1282,prt.1269,xjses.1373,xjsee.1442,xjs.1442,dcl.1504,ol.1603,fcp.1326,wsrt.50,cst.0,dnst.0,rqst.1240,rspt.1202,sslt.0,rqstt.12,unt.1,ppunt.9,cstt.11,dit.1340&zx=1670713416893"	www.google.com	443	POST	"/gen_204?atyp=csi&r=1&ei=RhCVY5DLG_SckPIPy_ei8As&s=webhp&t=all&bl=oABN&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&adh=&ime=3&imex=3&imeh=0&imea=0&imeb=0&imel=0&scp=0&sys=hc.4&rt=aft.1269,aftqf.1282,prt.1269,xjses.1373,xjsee.1442,xjs.1442,dcl.1504,ol.1603,fcp.1326,wsrt.50,cst.0,dnst.0,rqst.1240,rspt.1202,sslt.0,rqstt.12,unt.1,ppunt.9,cstt.11,dit.1340&zx=1670713416893"	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	https://www.google.com/complete/search?q&cp=0&client=gws-wiz&xssi=t&hl=en&authuser=0&psi=RhCVY5DLG_SckPIPy_ei8As.1670713416777&nolsbt=1&dpr=1	www.google.com	443	GET	/complete/search?q&cp=0&client=gws-wiz&xssi=t&hl=en&authuser=0&psi=RhCVY5DLG_SckPIPy_ei8As.1670713416777&nolsbt=1&dpr=1	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	https://www.google.com/gen_204?atyp=i&ct=psnt&cad=&nt=reload&ei=RhCVY5DLG_SckPIPy_ei8As&zx=1670713416895	www.google.com	443	GET	/gen_204?atyp=i&ct=psnt&cad=&nt=reload&ei=RhCVY5DLG_SckPIPy_ei8As&zx=1670713416895	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	16:03:36	https://www.google.com/gen_204?atyp=i&ct=psnt&cad=&nt=reload&ei=RhCVY5DLG_SckPIPy_ei8As&zx=1670713416895	www.google.com	443	GET	/gen_204?atyp=i&ct=psnt&cad=&nt=reload&ei=RhCVY5DLG_SckPIPy_ei8As&zx=1670713416895	HTTP/2.0	Response	TRUE	SET-COOKIE	1P_JAR=2022-12-10-23; expires=Mon 09-Jan-2023 23:03:35 GMT; path=/; domain=.google.com; Secure; SameSite=none	1P_JAR	2022-12-10-23	 expires	Mon 09-Jan-2023 23:03:35 GMT	 path	/	 domain	.google.com	 Secure		 SameSite	none
12/10/2022	16:03:37	https://www.google.com/gen_204?atyp=csi&r=1&ei=RhCVY5DLG_SckPIPy_ei8As&s=webhp&st=1742&fid=15&t=fi&zx=1670713417001	www.google.com	443	POST	/gen_204?atyp=csi&r=1&ei=RhCVY5DLG_SckPIPy_ei8As&s=webhp&st=1742&fid=15&t=fi&zx=1670713417001	HTTP/2.0	Request	TRUE	COOKIE	"1P_JAR=2022-12-10-23, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-23	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
