Date	Time	URL	Host	Port	Request Method	Path	HTTP Version	Type	Allow Cookies	Header	Content												
12/10/2022	15:47:00	https://www.google.com/	www.google.com	443	GET	/	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:00	https://www.google.com/	www.google.com	443	GET	/	HTTP/2.0	Response	FALSE	SET-COOKIE	1P_JAR=2022-12-10-22; expires=Mon 09-Jan-2023 22:46:58 GMT; path=/; domain=.google.com; Secure; SameSite=none	1P_JAR	2022-12-10-22	 expires	Mon 09-Jan-2023 22:46:58 GMT	 path	/	 domain	.google.com	 Secure		 SameSite	none
12/10/2022	15:47:00	"https://www.google.com/gen_204?atyp=i&r=1&ei=9QuVY-rUGYnpkPIPsa-u6Ag&ct=slh&v=t1&im=M&pv=0.87590418957715&me=10:1670712397799,V,0,0,0,0:13051,V,0,0,1920,884:7790,h,1,1,i:930,h,1,1,o:154,h,1,1,i:47,h,1,1,o:1149,e,H&zx=1670712420921"	www.google.com	443	POST	"/gen_204?atyp=i&r=1&ei=9QuVY-rUGYnpkPIPsa-u6Ag&ct=slh&v=t1&im=M&pv=0.87590418957715&me=10:1670712397799,V,0,0,0,0:13051,V,0,0,1920,884:7790,h,1,1,i:930,h,1,1,o:154,h,1,1,i:47,h,1,1,o:1149,e,H&zx=1670712420921"	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:01	"https://www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=YgyVY9W9N5nZkPIPtKaTsAQ&rt=wsrt.137,aft.72&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&r=1&bl=oABN"	www.google.com	443	POST	"/gen_204?s=webhp&t=aft&atyp=csi&ei=YgyVY9W9N5nZkPIPtKaTsAQ&rt=wsrt.137,aft.72&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&r=1&bl=oABN"	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:01	https://www.google.com/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ	www.google.com	443	GET	/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:01	https://www.google.com/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ	www.google.com	443	GET	/client_204?&atyp=i&biw=1920&bih=884&dpr=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ	HTTP/2.0	Response	FALSE	SET-COOKIE	1P_JAR=2022-12-10-22; expires=Mon 09-Jan-2023 22:46:59 GMT; path=/; domain=.google.com; Secure; SameSite=none	1P_JAR	2022-12-10-22	 expires	Mon 09-Jan-2023 22:46:59 GMT	 path	/	 domain	.google.com	 Secure		 SameSite	none
12/10/2022	15:47:01	https://www.google.com/gen_204?atyp=i&r=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ&dt19=2&zx=1670712421633	www.google.com	443	POST	/gen_204?atyp=i&r=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ&dt19=2&zx=1670712421633	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:01	https://www.google.com/complete/search?q&cp=0&client=gws-wiz&xssi=t&hl=en&authuser=0&psi=YgyVY9W9N5nZkPIPtKaTsAQ.1670712421533&nolsbt=1&dpr=1	www.google.com	443	GET	/complete/search?q&cp=0&client=gws-wiz&xssi=t&hl=en&authuser=0&psi=YgyVY9W9N5nZkPIPtKaTsAQ.1670712421533&nolsbt=1&dpr=1	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:01	"https://www.google.com/gen_204?atyp=csi&r=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ&s=webhp&t=all&bl=oABN&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&adh=&ime=3&imex=3&imeh=0&imea=0&imeb=0&imel=0&scp=0&sys=hc.4&rt=aft.72,aftqf.86,prt.72,xjses.331,xjsee.389,xjs.389,dcl.640,ol.753,fcp.165,wsrt.137,cst.0,dnst.0,rqst.123,rspt.1,sslt.0,rqstt.15,unt.1,ppunt.10,cstt.1,dit.232&zx=1670712421663"	www.google.com	443	POST	"/gen_204?atyp=csi&r=1&ei=YgyVY9W9N5nZkPIPtKaTsAQ&s=webhp&t=all&bl=oABN&wh=884&imn=3&ima=0&imad=0&imac=3&aftp=-1&adh=&ime=3&imex=3&imeh=0&imea=0&imeb=0&imel=0&scp=0&sys=hc.4&rt=aft.72,aftqf.86,prt.72,xjses.331,xjsee.389,xjs.389,dcl.640,ol.753,fcp.165,wsrt.137,cst.0,dnst.0,rqst.123,rspt.1,sslt.0,rqstt.15,unt.1,ppunt.10,cstt.1,dit.232&zx=1670712421663"	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
12/10/2022	15:47:01	https://adservice.google.com/adsid/google/ui	adservice.google.com	443	GET	/adsid/google/ui	HTTP/2.0	Request	FALSE	COOKIE	"1P_JAR=2022-12-10-22, AEC=AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg, NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78, OGPC=19027681-1:, ANID=AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4"	1P_JAR	2022-12-10-22	 AEC	AakniGMTYqteez3NVitAkIu6-y404uRUyZKKRZ0R3f0gowq-fKUPWlamCGg	 NID=511=HpjDETzFhEVlmcreNA5F41AxodJ3OagbjSqvaRBEsO2fR5duJr0B5vh7i2Umi5B2718XoY8yc3QDAIBrLprFwt_JuRLlBT780t_d2aw34WB3PyEC21lXXudTN060yYYIHCnWPiMr-fX8i3WBs9icCvZ9YXdVL5mhTEtm2KjHR78		 OGPC	19027681-1:	 ANID	AHWqTUnKlLtYdRxRv0nQu3wHH0ZQJkbrjLVUJfwXsny2p0FXaEKg6s8WXf7joVN4		
